"user","session","task","iteration","UD_qu","UD_u!","UD_!f","UD_fa","UD_aB","UD_B8","UD_8*","UD_*e","UD_en","standard_deviation","kurtosis","skewness"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","8","-137","923","242","123","257","259","267","225","130","265.44846748265263","5.010646868797815","1.3949829549838124"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","9","-110","307","214","97","466","257","477","181","137","172.47959263792112","2.559082493407279","-0.21578728560489693"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","10","-110","307","214","97","466","257","477","181","137","172.47959263792112","2.559082493407279","-0.21578728560489693"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","0","-67","265","176","79","124","3479","411","204","-125","1062.5271180272105","6.848448866797847","2.3761901593889787"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","1","139","674","203","81","273","2259","5667","599","154","1731.2845655505569","5.376162617043489","1.952549535270309"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","2","136","302","177","93","332","190","247","192","154","73.28196854329343","2.127322033214198","0.4224026756908967"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","3","137","217","155","82","131","6616","5953","587","-115","2552.4398252903816","2.8248695245780095","1.333645297862779"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","4","-127","288","176","81","127","1489","184","238","-115","455.17577665592114","6.016324358606907","2.0452506779865147"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","5","-79","273","201","69","386","221","305","235","1677","481.10197579215065","6.239099942937952","2.1275996969371946"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","6","-144","338","175","90","321","219","597","190","-143","220.5362711972347","2.4958105542152302","0.07793998065971072"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","7","95","736","239","91","299","262","756","134","-126","277.4582161846988","2.3719621571967524","0.6623902183683943"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","8","-104","296","179","84","277","506","370","196","848","254.5710989968116","3.261355283418839","0.7008273422075799"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","9","-122","269","174","81","605","185","301","290","-123","212.9121420842728","2.676971633087255","0.21643348509629737"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","10","-122","269","174","81","605","185","301","290","-123","212.9121420842728","2.676971633087255","0.21643348509629737"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","0","101","639","175","78","575","158","2571","182","112","754.5866336308383","6.225967306236892","2.1791489134313995"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","1","109","520","176","80","780","142","1504","181","79","451.21386350297786","4.183337188568526","1.5608548258403256"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","2","125","596","151","60","796","127","1045","133","72","348.1155619107604","2.3123879439727495","0.9724451624456403"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","3","117","588","144","88","704","104","1216","104","80","378.7720249880926","3.26492876041998","1.2689735859036055"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","4","127","556","127","96","840","96","842","143","104","307.5216342886392","1.9390925201260987","0.875061252242272"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","5","136","431","143","127","655","143","312","233","63","178.54521853504897","3.287048642712786","1.1894641263629229"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","6","101","456","167","64","889","128","3396","183","72","1017.6644041658197","6.312510214231071","2.216131937249365"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","7","125","756","151","80","860","143","425","151","72","286.11963309854224","2.37193940906367","1.0368096149891297"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","8","-160","583","167","87","783","135","878","135","112","335.3057569104413","1.938645708310725","0.5797983280970725"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","9","143","472","136","64","656","144","328","192","80","189.32889926993565","2.863542915787113","1.0914150833484968"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","1","10","143","472","136","64","656","144","328","192","80","189.32889926993565","2.863542915787113","1.0914150833484968"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","0","-92","511","151","128","634","100","971","120","86","321.28956978763097","2.688316699463387","0.9537635453688249"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","1","-110","470","143","120","816","263","1108","118","-114","391.2393413528632","2.5306043735954225","0.8567855471243769"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","2","-133","472","143","96","760","119","892","134","71","325.8819751511198","2.2130952843158496","0.7718026848688344"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","3","-125","482","7","88","524","125","336","162","88","204.5613796020436","2.0080961509826136","0.36803268233819536"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","4","141","597","135","79","732","95","428","153","135","230.6400648330052","2.2694410139555594","0.9613184218773075"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","5","-117","518","143","80","840","95","888","230","88","337.1787451380047","2.0328156301301687","0.705596427483591"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","6","-85","734","135","72","959","95","878","143","71","379.0538252928413","1.683721624939363","0.6785779798389326"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","1","7","130","942","128","80","968","71","373","167","63","348.2374668718651","2.5121576628323354","1.1414922544983728"
